Bone,Connections
Frontal bone,Parietal bone,Ethmoid bone,Lacrimal bone,Sphenoid bone,Nasal bone,Zygomatic bone,Maxilla,
Parietal bone,Frontal bone,Sphenoid bone,Temporal bone,Occipital bone,,,,
Occipital bone,Parietal bone,Temporal bone,Sphenoid bone, Cervical vertebrae (C1 Atlas),,,,
Temporal bone,Parietal bone,Occipital bone,Sphenoid bone,Zygomatic bone,Mandible,,,
Sphenoid bone,Frontal bone,Parietal bone,Occipital bone,Temporal bone,Ethmoid bone,Zygomatic bone,Palatine bone,Vomer
Ethmoid bone,Frontal bone,Sphenoid bone,Nasal bone,Maxilla,Lacrimal bone,Palatine bone,Inferior nasal concha,Vomer
Nasal bone,Frontal bone,Ethmoid bone,Maxilla,,,,,
Maxilla,Frontal bone,Nasal bone,Lacrimal bone,Palatine bone,Zygomatic bone,Ethmoid bone,Inferior nasal concha,Vomer
Zygomatic bone,Frontal bone,Temporal bone,Maxilla,Sphenoid bone,,,,
Mandible,Temporal bone,,,,,,,
Palatine bone,Maxilla,Sphenoid bone,Ethmoid bone,Vomer,Inferior nasal concha,,,
Lacrimal bone,Frontal bone,Ethmoid bone,Maxilla,Inferior nasal concha,,,,
Inferior nasal concha,Maxilla,Palatine bone,Ethmoid bone,Lacrimal bone,,,,
Vomer,Maxilla,Palatine bone,Sphenoid bone,Ethmoid bone,,,,
Malleus,Incus,,,,,,,
Incus,Malleus,Stapes,,,,,,
Stapes,Incus,,,,,,,
Hyoid bone,,,,,,,,
Cervical vertebrae (C1 Atlas),Occipital bone,Cervical vertebrae (C2 Axis),,,,,,
Cervical vertebrae (C2 Axis),Cervical vertebrae (C1 Atlas),Cervical vertebrae (C3),,,,,,
Cervical vertebrae (C3),Cervical vertebrae (C2 Axis),Cervical vertebrae (C4),,,,,,
Cervical vertebrae (C4),Cervical vertebrae (C3),Cervical vertebrae (C5),,,,,,
Cervical vertebrae (C5),Cervical vertebrae (C4),Cervical vertebrae (C6),,,,,,
Cervical vertebrae (C6),Cervical vertebrae (C5),Cervical vertebrae (C7),,,,,,
Cervical vertebrae (C7),Cervical vertebrae (C6),Thoracic vertebrae (T1),,,,,,
Thoracic vertebrae (T1),Cervical vertebrae (C7),Rib 1,Thoracic vertebrae (T2),,,,,
Thoracic vertebrae (T2),Thoracic vertebrae (T1),Rib 2,Rib 3,Thoracic vertebrae (T3),,,,
Thoracic vertebrae (T3),Thoracic vertebrae (T2),Rib 3,Rib 4,Thoracic vertebrae (T4),,,,
Thoracic vertebrae (T4),Thoracic vertebrae (T3),Rib 4,Rib 5,Thoracic vertebrae (T5),,,,
Thoracic vertebrae (T5),Thoracic vertebrae (T4),Rib 5,Rib 6,Thoracic vertebrae (T6),,,,
Thoracic vertebrae (T6),Thoracic vertebrae (T5),Rib 6,Rib 7,Thoracic vertebrae (T7),,,,
Thoracic vertebrae (T7),Thoracic vertebrae (T6),Rib 7,Rib 8,Thoracic vertebrae (T8),,,,
Thoracic vertebrae (T8),Thoracic vertebrae (T7),Rib 8,Rib 9,Thoracic vertebrae (T9),,,,
Thoracic vertebrae (T9),Thoracic vertebrae (T8),Rib 9,Rib 10,Thoracic vertebrae (T10),,,,
Thoracic vertebrae (T10),Thoracic vertebrae (T9),Rib 10,Thoracic vertebrae (T11),,,,,
Thoracic vertebrae (T11),Thoracic vertebrae (T10),Rib 11,Thoracic vertebrae (T12),,,,,
Thoracic vertebrae (T12),Thoracic vertebrae (T11),Rib 12,Lumbar vertebrae (L1),,,,,
Lumbar vertebrae (L1),Thoracic vertebrae (T12),Lumbar vertebrae (L2),,,,,,
Lumbar vertebrae (L2),Lumbar vertebrae (L1),Lumbar vertebrae (L3),,,,,,
Lumbar vertebrae (L3),Lumbar vertebrae (L2),Lumbar vertebrae (L4),,,,,,
Lumbar vertebrae (L4),Lumbar vertebrae (L3),Lumbar vertebrae (L5),,,,,,
Lumbar vertebrae (L5),Lumbar vertebrae (L4),Sacrum,,,,,,
Sacrum,Lumbar vertebrae (L5),Coccyx,Hip bone,,,,,
Coccyx,Sacrum,,,,,,,
Sternum,Rib 1,Clavicle,Rib 2,Rib 3,Rib 4,Rib 5,Rib 6,Rib 7
Rib 1,Thoracic vertebrae (T1),Sternum,,,,,,
Rib 2,Thoracic vertebrae (T2),Sternum,,,,,,
Rib 3,Thoracic vertebrae (T2),Thoracic vertebrae (T3),Sternum,,,,,
Rib 4,Thoracic vertebrae (T3),Thoracic vertebrae (T4),Sternum,,,,,
Rib 5,Thoracic vertebrae (T4),Thoracic vertebrae (T5),Sternum,,,,,
Rib 6,Thoracic vertebrae (T5),Thoracic vertebrae (T6),Sternum,,,,,
Rib 7,Thoracic vertebrae (T6),Thoracic vertebrae (T7),Sternum,,,,,
Rib 8,Thoracic vertebrae (T7),Thoracic vertebrae (T8),,,,,,
Rib 9,Thoracic vertebrae (T8),Thoracic vertebrae (T9),,,,,,
Rib 10,Thoracic vertebrae (T9),Thoracic vertebrae (T10),,,,,,
Rib 11,Thoracic vertebrae (T11),,,,,,,
Rib 12,Thoracic vertebrae (T12),,,,,,,
Clavicle,Sternum,Scapula,,,,,,
Scapula,Humerus,Clavicle,,,,,,
Humerus,Scapula,Radius,Ulna,,,,,
Radius,Humerus,Ulna,Scaphoid,Lunate,,,,
Ulna,Humerus,Radius,,,,,,
Scaphoid,Radius,Trapezoid,Trapezium,Capitate,Lunate,,,
Lunate,Radius,Capitate,Hamate,Scaphoid,Triquetrum,,,
Triquetrum,Lunate,Pisiform,Hamate,,,,,
Pisiform,Triquetrum,,,,,,,
Trapezium,Scaphoid,Trapezoid,Metacarpal 1,Metacarpal 2,,,,
Trapezoid,Trapezium,Scaphoid,Capitate,Metacarpal 2,,,,
Capitate,Scaphoid,Lunate,Trapezoid,Hamate,Metacarpal 2,Metacarpal 3,Metacarpal 4,
Hamate,Capitate,Lunate,Triquetrum,Metacarpal 4,Metacarpal 5,,,
Metacarpal 1,Trapezium,Proximal phalanx (thumb),,,,,,
Metacarpal 2,Trapezium,Trapezoid,Capitate,Proximal phalanx (index finger),Metacarpal 3,,,
Metacarpal 3,Capitate,Proximal phalanx (middle finger),Metacarpal 2,Metacarpal 4,,,,
Metacarpal 4,Hamate,Proximal phalanx (ring finger),Metacarpal 3,Metacarpal 5,,,,
Metacarpal 5,Hamate,Metacarpal 4,Proximal phalanx (little finger),,,,,
Proximal phalanx (thumb),Metacarpal 1,Distal phalanx (thumb),,,,,,
Proximal phalanx (index finger),Metacarpal 2,Middle phalanx (index finger),,,,,,
Proximal phalanx (middle finger),Metacarpal 3,Middle phalanx (middle finger),,,,,,
Proximal phalanx (ring finger),Metacarpal 4,Middle phalanx (ring finger),,,,,,
Proximal phalanx (little finger),Metacarpal 5,Middle phalanx (little finger),,,,,,
Middle phalanx (index finger),Proximal phalanx (index finger),Distal phalanx (index finger),,,,,,
Middle phalanx (middle finger),Proximal phalanx (middle finger),Distal phalanx (middle finger),,,,,,
Middle phalanx (ring finger),Proximal phalanx (ring finger),Distal phalanx (ring finger),,,,,,
Middle phalanx (little finger),Proximal phalanx (little finger),Distal phalanx (little finger),,,,,,
Distal phalanx (thumb),Proximal phalanx (thumb),,,,,,,
Distal phalanx (index finger),Middle phalanx (index finger),,,,,,,
Distal phalanx (middle finger),Middle phalanx (middle finger),,,,,,,
Distal phalanx (ring finger),Middle phalanx (ring finger),,,,,,,
Distal phalanx (little finger),Middle phalanx (little finger),,,,,,,
Hip bone,Femur,Sacrum,,,,,,
Femur,Hip bone,Tibia,Patella,,,,,
Tibia,Fibula,Femur,Talus,,,,,
Fibula,Tibia,Talus,,,,,,
Patella,Femur,,,,,,,
Talus,Tibia,Fibula,Calcaneus,Navicular,,,,
Calcaneus,Talus,Cuboid,,,,,,
Navicular,Talus,Cuboid,Medial cuneiform,Intermediate cuneiform,Lateral cuneiform,,,
Medial cuneiform,Navicular, Intermediate cuneiform, Metatarsal 1,Metatarsal 2,,,,
Intermediate cuneiform,Navicular,Medial cuneiform,Lateral cuneiform,Metatarsal 1,Metatarsal 2,,,
Lateral cuneiform,Cuboid,Navicular,Intermediate cuneiform,Metatarsal 2,Metatarsal 3,Metatarsal 4,,
Cuboid,Calcaneus,Lateral cuneiform,Metatarsal 4,Metatarsal 5,,,,
Metatarsal 1,Medial cuneiform,Intermediate cuneiform,Proximal phalanx (big toe),,,,,
Metatarsal 2,Medial cuneiform,Intermediate cuneiform,Lateral cuneiform,Proximal phalanx (second toe),,,,
Metatarsal 3,Lateral cuneiform,Proximal phalanx (third toe),,,,,,
Metatarsal 4,Lateral cuneiform,Cuboid,Proximal phalanx (fourth toe),,,,,
Metatarsal 5,Cuboid,Proximal phalanx (little toe),,,,,,
Proximal phalanx (big toe),Metatarsal 1,Distal phalanx (big toe),,,,,,
Proximal phalanx (second toe),Metatarsal 2,Middle phalanx (second toe),,,,,,
Proximal phalanx (third toe),Metatarsal 3,Middle phalanx (third toe),,,,,,
Proximal phalanx (fourth toe),Metatarsal 4,Middle phalanx (fourth toe),,,,,,
Proximal phalanx (little toe),Metatarsal 5,Middle phalanx (little toe),,,,,,
Middle phalanx (second toe),Proximal phalanx (second toe),Distal phalanx (second toe),,,,,,
Middle phalanx (third toe),Proximal phalanx (third toe),Distal phalanx (third toe),,,,,,
Middle phalanx (fourth toe),Proximal phalanx (fourth toe),Distal phalanx (fourth toe),,,,,,
Middle phalanx (little toe),Proximal phalanx (little toe),Distal phalanx (little toe),,,,,,
Distal phalanx (big toe),Proximal phalanx (big toe),,,,,,,
Distal phalanx (second toe),Middle phalanx (second toe),,,,,,,
Distal phalanx (third toe),Middle phalanx (third toe),,,,,,,
Distal phalanx (fourth toe),Middle phalanx (fourth toe),,,,,,,
Distal phalanx (little toe), Middle phalanx (little toe),,,,,,,
